,dteday,hr,weathersit,temp,atemp,hum,windspeed,casual,cnt
2768,2011-04-30,6,1,0.4,0.4091,0.58,0.2836,10,21
13098,2012-07-04,23,2,0.78,0.6970000000000001,0.43,0.0896,31,183
655,2011-01-30,15,1,0.3,0.3333,0.56,0.0,14,109
14897,2012-09-17,22,3,0.62,0.5758,0.83,0.2537,20,129
13349,2012-07-15,10,1,0.76,0.7273,0.66,0.1343,141,382
16817,2012-12-08,12,2,0.4,0.4091,0.87,0.2239,122,486
12421,2012-06-06,18,3,0.6,0.6212,0.53,0.19399999999999998,94,782
12463,2012-06-08,12,1,0.72,0.6515,0.39,0.3284,89,369
8507,2011-12-26,5,1,0.34,0.303,0.42,0.3881,0,4
10281,2012-03-09,11,2,0.36,0.3333,0.34,0.3582,17,187
2199,2011-04-06,12,1,0.44,0.4394,0.41,0.2537,22,134
2960,2011-05-08,6,2,0.44,0.4394,0.82,0.0,2,6
4640,2011-07-17,6,1,0.62,0.5909,0.73,0.1642,10,21
2399,2011-04-14,21,1,0.46,0.4545,0.63,0.1343,19,145
7310,2011-11-06,5,1,0.24,0.2424,0.87,0.1343,0,5
7251,2011-11-03,18,1,0.46,0.4545,0.63,0.1343,24,433
5487,2011-08-21,13,1,0.8,0.7727,0.59,0.4179,94,310
16125,2012-11-09,15,1,0.46,0.4545,0.36,0.2239,78,356
14123,2012-08-16,16,1,0.82,0.7121,0.32,0.2239,79,419
8287,2011-12-16,23,2,0.3,0.303,0.49,0.1343,4,75
13723,2012-07-31,0,1,0.68,0.6364,0.79,0.1343,11,38
8823,2012-01-08,11,1,0.36,0.3485,0.46,0.2239,55,256
7836,2011-11-28,4,1,0.44,0.4394,0.82,0.0896,0,4
1405,2011-03-03,20,1,0.2,0.2273,0.4,0.0896,1,70
15419,2012-10-09,16,2,0.5,0.4848,0.72,0.1642,70,424
2625,2011-04-24,7,2,0.5,0.4848,1.0,0.0,16,27
11250,2012-04-18,23,2,0.42,0.4242,0.77,0.0,14,70
11215,2012-04-17,12,1,0.6,0.6212,0.33,0.3582,65,244
13744,2012-07-31,21,1,0.68,0.6364,0.79,0.19399999999999998,60,352
7625,2011-11-19,8,1,0.26,0.2424,0.56,0.2537,12,92
3148,2011-05-16,2,1,0.5,0.4848,1.0,0.0896,4,13
12486,2012-06-09,11,1,0.76,0.6667,0.35,0.0,218,569
13360,2012-07-15,21,1,0.72,0.6970000000000001,0.79,0.0896,59,223
12032,2012-05-21,13,3,0.6,0.5606,0.83,0.2537,49,184
11028,2012-04-09,16,1,0.56,0.5303,0.3,0.4179,81,391
2873,2011-05-04,15,1,0.48,0.4697,0.51,0.4179,22,129
8981,2012-01-15,2,2,0.16,0.1364,0.47,0.2836,5,43
3916,2011-06-17,2,1,0.56,0.5303,0.94,0.1045,2,13
13846,2012-08-05,3,1,0.72,0.6970000000000001,0.74,0.2537,9,41
3685,2011-06-07,11,2,0.76,0.6970000000000001,0.52,0.2537,38,151
11227,2012-04-18,0,1,0.54,0.5152,0.32,0.1642,3,38
9048,2012-01-17,22,1,0.46,0.4545,0.72,0.3881,5,90
15886,2012-10-30,15,3,0.3,0.2879,0.87,0.2537,10,124
76,2011-01-04,8,1,0.14,0.1515,0.69,0.1642,2,179
5195,2011-08-09,9,2,0.78,0.7424,0.62,0.1343,34,175
13738,2012-07-31,15,1,0.76,0.7121,0.62,0.1343,29,144
14597,2012-09-05,10,2,0.76,0.7273,0.7,0.1642,54,235
11509,2012-04-29,18,1,0.6,0.6061,0.26,0.2836,164,487
16790,2012-12-07,9,2,0.3,0.303,0.81,0.1343,10,301
12547,2012-06-12,0,2,0.7,0.6515,0.58,0.2239,2,28
14946,2012-09-19,23,1,0.48,0.4697,0.67,0.0896,17,123
6651,2011-10-09,17,1,0.62,0.6061,0.61,0.1045,208,438
4947,2011-07-30,1,1,0.76,0.6970000000000001,0.55,0.0896,15,90
435,2011-01-20,4,1,0.26,0.2576,0.56,0.1642,0,1
2260,2011-04-09,1,2,0.3,0.303,0.87,0.1343,3,20
1775,2011-03-19,16,1,0.5,0.4848,0.31,0.3881,175,304
14913,2012-09-18,14,3,0.6,0.5152,0.94,0.4627,27,143
10676,2012-03-25,23,1,0.48,0.4697,0.82,0.1343,9,65
93,2011-01-05,1,1,0.16,0.19699999999999998,0.74,0.0896,0,6
7749,2011-11-24,12,1,0.46,0.4545,0.36,0.2239,62,150
12575,2012-06-13,4,1,0.6,0.5606,0.83,0.1343,1,10
4007,2011-06-20,21,1,0.64,0.6061,0.73,0.1642,39,206
2731,2011-04-28,17,1,0.64,0.6212,0.47,0.3582,49,455
16041,2012-11-06,2,1,0.24,0.2576,0.65,0.0896,0,2
7171,2011-10-31,10,2,0.36,0.3485,0.57,0.1642,18,105
6791,2011-10-15,13,1,0.6,0.6212,0.35,0.4627,171,394
11573,2012-05-02,10,2,0.58,0.5455,0.83,0.1045,28,175
4810,2011-07-24,8,1,0.82,0.7879,0.56,0.2836,22,104
3181,2011-05-17,11,2,0.56,0.5303,0.83,0.4179,26,130
8528,2011-12-27,2,1,0.26,0.2727,0.7,0.1343,2,4
1076,2011-02-17,14,1,0.6,0.6212,0.31,0.2239,26,81
2338,2011-04-12,8,3,0.48,0.4697,0.88,0.3881,15,226
10029,2012-02-27,22,1,0.44,0.4394,0.44,0.2537,9,92
13115,2012-07-05,16,1,0.92,0.8333,0.33,0.2537,109,433
12222,2012-05-29,11,1,0.76,0.7121,0.62,0.2985,50,197
9675,2012-02-13,2,1,0.14,0.1364,0.46,0.19399999999999998,0,4
1885,2011-03-24,8,3,0.26,0.2273,1.0,0.2985,4,124
11568,2012-05-02,5,1,0.54,0.5152,0.9,0.1343,2,33
15735,2012-10-22,20,1,0.5,0.4848,0.59,0.1045,21,403
16391,2012-11-20,17,2,0.4,0.4091,0.71,0.1642,37,590
5773,2011-09-03,0,2,0.64,0.6061,0.73,0.1045,22,87
7708,2011-11-22,19,3,0.46,0.4545,0.94,0.1045,5,111
4323,2011-07-04,1,1,0.64,0.5758,0.83,0.0896,43,119
5584,2011-08-25,14,2,0.72,0.6970000000000001,0.74,0.0,27,113
4949,2011-07-30,3,1,0.74,0.6818,0.62,0.1642,18,43
12968,2012-06-29,13,1,0.94,0.8788,0.38,0.19399999999999998,45,239
12320,2012-06-02,13,1,0.62,0.6212,0.41,0.2537,279,679
222,2011-01-10,13,2,0.2,0.1818,0.4,0.2836,4,54
12881,2012-06-25,22,1,0.66,0.6212,0.29,0.3881,21,187
2759,2011-04-29,21,1,0.46,0.4545,0.51,0.19399999999999998,50,195
9960,2012-02-25,1,1,0.34,0.303,0.42,0.3582,4,46
252,2011-01-11,21,3,0.16,0.19699999999999998,0.86,0.0896,0,20
4030,2011-06-21,20,3,0.74,0.6970000000000001,0.7,0.2239,72,326
3352,2011-05-24,14,1,0.78,0.6970000000000001,0.46,0.2836,27,153
1437,2011-03-05,4,2,0.3,0.303,0.93,0.1642,0,1
1233,2011-02-24,12,2,0.36,0.3333,0.53,0.3582,10,95
16134,2012-11-10,0,1,0.32,0.3333,0.76,0.0896,16,122
4281,2011-07-02,7,1,0.64,0.6061,0.65,0.0,10,45
13164,2012-07-07,17,1,0.96,0.8485,0.26,0.1343,103,279
9159,2012-01-22,13,2,0.16,0.1818,0.8,0.1343,24,199
3102,2011-05-14,4,2,0.5,0.4848,0.82,0.1642,1,5
7477,2011-11-13,4,2,0.36,0.3485,0.62,0.1343,1,6
2465,2011-04-17,15,1,0.54,0.5152,0.32,0.5224,179,388
12811,2012-06-23,0,1,0.64,0.5758,0.83,0.0,14,116
8031,2011-12-06,7,2,0.46,0.4545,0.94,0.19399999999999998,7,234
9921,2012-02-23,10,1,0.42,0.4242,0.67,0.19399999999999998,41,148
5393,2011-08-17,15,1,0.8,0.7273,0.43,0.1343,42,159
5404,2011-08-18,2,1,0.66,0.6212,0.65,0.2239,2,6
9466,2012-02-04,8,1,0.24,0.2879,0.87,0.0,4,90
8191,2011-12-12,23,1,0.24,0.2879,0.75,0.0,3,45
1354,2011-03-01,17,1,0.34,0.3485,0.34,0.0896,12,242
449,2011-01-20,18,2,0.26,0.2576,0.56,0.19399999999999998,1,185
8029,2011-12-06,5,3,0.46,0.4545,0.88,0.2239,0,20
16936,2012-12-13,11,1,0.34,0.3182,0.42,0.2537,25,189
11570,2012-05-02,7,2,0.54,0.5152,0.88,0.19399999999999998,14,358
3621,2011-06-04,19,2,0.7,0.6364,0.39,0.0896,79,285
2317,2011-04-11,11,2,0.6,0.5909,0.73,0.2985,45,104
13954,2012-08-09,15,1,0.88,0.7727,0.32,0.2239,63,267
12084,2012-05-23,17,3,0.64,0.6061,0.69,0.1045,45,285
2185,2011-04-05,22,1,0.32,0.303,0.49,0.2985,3,46
4477,2011-07-10,11,1,0.78,0.7273,0.55,0.19399999999999998,110,287
1890,2011-03-24,13,2,0.32,0.303,0.7,0.2239,11,101
1155,2011-02-20,22,2,0.32,0.303,0.57,0.2239,4,47
8704,2012-01-03,12,1,0.18,0.1364,0.37,0.5224,4,74
16351,2012-11-19,1,2,0.36,0.3485,0.66,0.2239,0,19
16755,2012-12-05,22,1,0.32,0.2879,0.45,0.3881,4,105
1728,2011-03-17,16,1,0.5,0.4848,0.48,0.2836,34,142
14937,2012-09-19,14,1,0.62,0.6212,0.38,0.2537,59,286
13784,2012-08-02,13,1,0.86,0.7879,0.44,0.2239,98,310
13265,2012-07-11,22,1,0.72,0.6667,0.58,0.2537,41,244
6521,2011-10-04,7,1,0.42,0.4242,0.82,0.2836,11,309
14336,2012-08-25,13,2,0.72,0.6667,0.51,0.3582,186,517
2997,2011-05-09,19,1,0.58,0.5455,0.43,0.19399999999999998,45,384
17064,2012-12-18,19,1,0.38,0.3939,0.46,0.3881,19,353
5349,2011-08-15,19,1,0.7,0.6515,0.65,0.0,54,397
13890,2012-08-06,23,1,0.72,0.6970000000000001,0.74,0.19399999999999998,16,113
10474,2012-03-17,13,1,0.6,0.6061,0.6,0.1045,286,686
4392,2011-07-06,22,1,0.7,0.6667,0.79,0.19399999999999998,30,186
10477,2012-03-17,16,1,0.64,0.6212,0.5,0.0,367,685
2503,2011-04-19,5,2,0.46,0.4545,0.72,0.19399999999999998,1,18
15030,2012-09-23,11,1,0.56,0.5303,0.46,0.2537,186,570
16274,2012-11-15,20,1,0.34,0.3485,0.61,0.1045,23,285
2463,2011-04-17,13,1,0.5,0.4848,0.34,0.3881,181,343
2132,2011-04-03,17,2,0.46,0.4545,0.28,0.1343,148,274
2846,2011-05-03,12,2,0.68,0.6364,0.61,0.4925,48,217
11419,2012-04-26,0,2,0.48,0.4697,0.63,0.0,1,43
12426,2012-06-06,23,1,0.52,0.5,0.77,0.0,13,123
7586,2011-11-17,17,1,0.32,0.2879,0.42,0.3881,20,399
1612,2011-03-12,16,1,0.46,0.4545,0.41,0.4478,100,244
8460,2011-12-24,4,2,0.32,0.3182,0.66,0.1642,0,3
2191,2011-04-06,4,1,0.24,0.2424,0.65,0.1343,0,1
1729,2011-03-17,17,1,0.5,0.4848,0.42,0.19399999999999998,48,313
4824,2011-07-24,22,1,0.78,0.7576,0.66,0.0,23,98
6668,2011-10-10,10,1,0.56,0.5303,0.73,0.1642,107,265
12608,2012-06-14,13,1,0.68,0.6364,0.57,0.1642,71,284
13799,2012-08-03,4,1,0.66,0.6061,0.83,0.2537,1,12
12848,2012-06-24,13,1,0.8,0.6970000000000001,0.33,0.2836,237,585
7593,2011-11-18,0,1,0.26,0.2576,0.48,0.1642,2,30
5657,2011-08-29,4,1,0.56,0.5303,0.68,0.1343,0,3
6302,2011-09-25,4,3,0.6,0.5152,0.94,0.1343,3,8
14254,2012-08-22,3,1,0.62,0.5909,0.78,0.0,0,7
11859,2012-05-14,8,3,0.54,0.5152,0.88,0.2239,1,156
5909,2011-09-08,18,3,0.64,0.5606,0.94,0.3582,2,68
14864,2012-09-16,13,1,0.64,0.6212,0.41,0.1642,240,694
16746,2012-12-05,13,1,0.46,0.4545,0.41,0.2836,14,214
17207,2012-12-24,19,2,0.24,0.2424,0.93,0.1343,4,18
11161,2012-04-15,6,1,0.5,0.4848,0.63,0.1343,5,16
16618,2012-11-30,5,1,0.2,0.2576,0.8,0.0,1,40
13520,2012-07-22,13,2,0.7,0.6515,0.65,0.0896,238,626
8268,2011-12-16,4,2,0.5,0.4848,0.59,0.19399999999999998,1,5
7581,2011-11-17,12,2,0.34,0.303,0.53,0.2985,6,121
4047,2011-06-22,13,2,0.82,0.7879,0.56,0.2537,34,147
1866,2011-03-23,13,3,0.34,0.3333,0.87,0.1343,14,108
9942,2012-02-24,7,2,0.4,0.4091,0.76,0.2239,7,272
5950,2011-09-10,11,1,0.72,0.6818,0.62,0.2537,108,360
15456,2012-10-11,5,1,0.36,0.3485,0.5,0.1642,0,42
6896,2011-10-19,23,2,0.58,0.5455,0.94,0.3582,14,69
5298,2011-08-13,16,2,0.7,0.6667,0.74,0.2836,148,281
2556,2011-04-21,10,1,0.42,0.4242,0.44,0.3582,25,98
16359,2012-11-19,9,2,0.36,0.3333,0.66,0.2537,18,278
4240,2011-06-30,14,1,0.78,0.6818,0.31,0.19399999999999998,46,163
14967,2012-09-20,20,1,0.56,0.5303,0.64,0.1343,57,417
14475,2012-08-31,8,2,0.7,0.6667,0.74,0.0,36,690
5742,2011-09-01,17,1,0.72,0.6667,0.54,0.2537,61,628
6745,2011-10-13,15,1,0.66,0.6061,0.78,0.19399999999999998,27,155
2755,2011-04-29,17,2,0.52,0.5,0.45,0.3881,75,508
11076,2012-04-11,17,1,0.42,0.4242,0.35,0.3881,52,579
2492,2011-04-18,18,1,0.64,0.6212,0.31,0.3582,41,362
7612,2011-11-18,19,1,0.28,0.2727,0.41,0.1642,7,190
3139,2011-05-15,17,3,0.56,0.5303,0.78,0.3582,137,392
6902,2011-10-20,5,1,0.48,0.4697,0.82,0.3582,2,26
15849,2012-10-27,14,1,0.6,0.6212,0.46,0.2537,325,750
3742,2011-06-09,20,2,0.8,0.7273,0.43,0.19399999999999998,40,254
5234,2011-08-11,0,1,0.7,0.6364,0.45,0.1045,6,46
12690,2012-06-17,23,1,0.58,0.5455,0.64,0.19399999999999998,29,108
3272,2011-05-21,6,1,0.5,0.4848,0.82,0.1343,6,28
15786,2012-10-24,23,2,0.58,0.5455,0.68,0.0896,12,123
5273,2011-08-12,15,1,0.8,0.6970000000000001,0.29,0.1642,59,249
14154,2012-08-17,23,3,0.64,0.2424,0.83,0.2239,21,121
2889,2011-05-05,7,1,0.38,0.3939,0.58,0.2537,16,271
6321,2011-09-25,23,2,0.62,0.5455,0.94,0.1045,12,79
7914,2011-12-01,10,1,0.32,0.303,0.53,0.2985,7,93
788,2011-02-05,7,3,0.22,0.2576,0.93,0.0896,0,4
16935,2012-12-13,10,1,0.32,0.303,0.45,0.2836,28,167
3347,2011-05-24,9,2,0.64,0.6061,0.73,0.19399999999999998,27,138
9487,2012-02-05,5,3,0.26,0.2576,0.81,0.19399999999999998,0,4
12544,2012-06-11,21,2,0.72,0.6667,0.58,0.19399999999999998,32,250
1162,2011-02-21,5,2,0.34,0.3636,0.36,0.0,1,3
7546,2011-11-16,1,3,0.46,0.4545,0.94,0.0896,0,5
10590,2012-03-22,9,2,0.5,0.4848,0.94,0.0896,41,318
6126,2011-09-17,20,1,0.52,0.5,0.68,0.1343,43,176
2194,2011-04-06,7,1,0.26,0.2727,0.65,0.1045,3,133
9295,2012-01-28,5,1,0.24,0.2576,0.75,0.0896,0,10
5444,2011-08-19,18,1,0.76,0.7121,0.58,0.5224,88,425
15857,2012-10-27,22,2,0.52,0.5,0.72,0.2537,41,157
8863,2012-01-10,4,2,0.2,0.2121,0.86,0.1642,0,4
7858,2011-11-29,2,2,0.5,0.4848,0.88,0.0,0,5
14848,2012-09-15,21,1,0.56,0.5303,0.52,0.1045,86,296
6196,2011-09-20,18,1,0.6,0.5606,0.83,0.1045,39,492
16269,2012-11-15,15,2,0.38,0.3939,0.58,0.1642,26,217
12914,2012-06-27,7,1,0.6,0.6212,0.43,0.3582,29,527
3377,2011-05-25,15,1,0.76,0.6970000000000001,0.52,0.2537,37,182
4527,2011-07-12,13,1,0.86,0.8029999999999999,0.47,0.2239,32,136
15836,2012-10-27,1,2,0.5,0.4848,0.88,0.1343,23,146
1780,2011-03-19,21,1,0.4,0.4091,0.37,0.2985,20,93
13535,2012-07-23,4,2,0.66,0.5909,0.94,0.1343,0,8
16502,2012-11-25,8,2,0.22,0.2273,0.51,0.19399999999999998,2,34
2959,2011-05-08,5,2,0.44,0.4394,0.77,0.0,0,5
7912,2011-12-01,8,1,0.26,0.2273,0.6,0.3284,15,477
16304,2012-11-17,2,1,0.26,0.2576,0.65,0.19399999999999998,8,49
349,2011-01-16,1,1,0.26,0.2727,0.56,0.1343,4,23
13529,2012-07-22,22,1,0.7,0.6667,0.74,0.19399999999999998,55,191
13114,2012-07-05,15,1,0.92,0.8333,0.33,0.3582,71,254
3349,2011-05-24,11,1,0.74,0.6667,0.51,0.2239,33,175
15683,2012-10-20,16,1,0.54,0.5152,0.42,0.2836,325,691
11672,2012-05-06,13,2,0.6,0.6061,0.64,0.0,197,565
42,2011-01-02,19,1,0.32,0.2879,0.42,0.4478,1,30
801,2011-02-05,20,1,0.3,0.2879,0.87,0.2537,5,69
3529,2011-05-31,23,1,0.72,0.6970000000000001,0.79,0.0896,15,61
3531,2011-06-01,1,1,0.7,0.6667,0.84,0.2537,8,17
10157,2012-03-04,7,2,0.3,0.2727,0.52,0.2985,2,23
981,2011-02-13,13,1,0.38,0.3939,0.29,0.3582,62,154
6408,2011-09-29,14,1,0.68,0.6364,0.51,0.2985,33,167
3458,2011-05-29,0,1,0.64,0.5758,0.83,0.2239,32,83
8596,2011-12-29,23,1,0.3,0.303,0.65,0.1642,1,45
8337,2011-12-19,1,1,0.18,0.2121,0.8,0.0896,3,11
5173,2011-08-08,11,1,0.82,0.7424,0.48,0.3582,90,179
17155,2012-12-22,14,1,0.32,0.2879,0.36,0.4627,20,161
9962,2012-02-25,3,1,0.3,0.2727,0.45,0.2985,0,7
9994,2012-02-26,11,1,0.28,0.2576,0.41,0.2836,43,227
10540,2012-03-20,7,3,0.52,0.5,0.94,0.2239,3,170
16156,2012-11-10,22,1,0.38,0.3939,0.71,0.0896,39,193
11070,2012-04-11,11,2,0.38,0.3939,0.43,0.3284,38,180
3091,2011-05-13,17,3,0.52,0.5,0.88,0.1642,62,491
9314,2012-01-29,0,1,0.3,0.2879,0.33,0.2239,15,96
9972,2012-02-25,13,1,0.32,0.2879,0.31,0.4925,48,226
7646,2011-11-20,5,2,0.42,0.4242,0.67,0.2836,0,4
7709,2011-11-22,20,2,0.46,0.4545,1.0,0.2239,6,127
6853,2011-10-18,3,1,0.44,0.4394,0.94,0.0896,0,1
2756,2011-04-29,18,1,0.52,0.5,0.48,0.3582,55,439
6458,2011-10-01,16,2,0.4,0.4091,0.76,0.2985,58,223
4812,2011-07-24,10,1,0.86,0.8182,0.5,0.3284,61,226
916,2011-02-10,17,1,0.18,0.1818,0.26,0.19399999999999998,6,165
10821,2012-04-01,0,2,0.36,0.3333,0.76,0.2537,8,67
4617,2011-07-16,7,1,0.62,0.5909,0.73,0.1343,14,52
6600,2011-10-07,14,1,0.62,0.6212,0.5,0.0,77,256
5614,2011-08-26,20,1,0.72,0.6970000000000001,0.79,0.0896,39,222
1616,2011-03-12,20,1,0.4,0.4091,0.58,0.1045,22,86
6942,2011-10-21,21,1,0.42,0.4242,0.58,0.1642,31,143
8351,2011-12-19,15,1,0.38,0.3939,0.46,0.1642,24,159
10833,2012-04-01,12,2,0.42,0.4242,0.67,0.2239,187,445
12301,2012-06-01,18,3,0.62,0.5606,0.88,0.3582,10,110
2146,2011-04-04,7,2,0.44,0.4394,0.54,0.2537,7,157
5087,2011-08-04,21,2,0.7,0.6667,0.74,0.19399999999999998,25,211
1833,2011-03-22,3,1,0.44,0.4394,0.82,0.2239,3,5
8642,2011-12-31,21,1,0.4,0.4091,0.58,0.19399999999999998,2,52
11436,2012-04-26,17,1,0.54,0.5152,0.77,0.1642,49,614
8318,2011-12-18,6,1,0.2,0.2121,0.59,0.1343,0,3
3937,2011-06-17,23,1,0.62,0.5758,0.83,0.1343,37,178
7536,2011-11-15,15,2,0.54,0.5152,0.6,0.1343,36,191
7824,2011-11-27,15,1,0.62,0.6212,0.43,0.2836,96,317
4714,2011-07-20,8,1,0.74,0.7121,0.74,0.0,34,438
12511,2012-06-10,12,1,0.82,0.7121,0.3,0.0,173,502
10958,2012-04-06,18,1,0.5,0.4848,0.22,0.4627,104,484
5654,2011-08-29,1,1,0.6,0.5909,0.69,0.1045,5,20
13263,2012-07-11,20,1,0.74,0.6667,0.51,0.1642,73,483
13312,2012-07-13,21,1,0.72,0.6667,0.54,0.0,76,299
782,2011-02-05,1,2,0.24,0.2424,0.65,0.1642,1,18
4687,2011-07-19,5,2,0.7,0.6667,0.74,0.1045,0,19
15375,2012-10-07,20,1,0.4,0.4091,0.82,0.1343,19,116
5632,2011-08-27,14,3,0.64,0.5758,0.89,0.5522,4,23
11472,2012-04-28,5,1,0.34,0.3333,0.46,0.1343,2,5
11507,2012-04-29,16,1,0.6,0.6061,0.28,0.19399999999999998,240,587
8231,2011-12-14,15,2,0.38,0.3939,0.54,0.1045,24,167
12731,2012-06-19,16,1,0.8,0.7576,0.55,0.2239,48,334
12159,2012-05-26,20,2,0.74,0.6818,0.55,0.19399999999999998,103,255
11131,2012-04-14,0,1,0.4,0.4091,0.58,0.1343,11,96
4838,2011-07-25,12,2,0.84,0.8333,0.59,0.19399999999999998,17,67
2401,2011-04-14,23,1,0.46,0.4545,0.59,0.1045,7,47
12224,2012-05-29,13,1,0.82,0.7727,0.52,0.3881,63,239
4205,2011-06-29,3,2,0.66,0.6061,0.83,0.1045,2,5
8610,2011-12-30,13,2,0.36,0.3485,0.53,0.1343,53,207
4641,2011-07-17,7,1,0.64,0.6061,0.73,0.1642,20,50
2152,2011-04-04,13,1,0.68,0.6364,0.34,0.3284,47,139
7510,2011-11-14,13,1,0.6,0.6212,0.49,0.3881,50,203
9457,2012-02-03,23,1,0.26,0.2727,0.7,0.1045,3,77
10782,2012-03-30,9,1,0.34,0.3333,0.57,0.1642,29,321
7484,2011-11-13,11,1,0.46,0.4545,0.4,0.4179,108,295
11056,2012-04-10,20,1,0.46,0.4545,0.28,0.3881,34,282
2947,2011-05-07,17,1,0.58,0.5455,0.4,0.2239,138,354
11785,2012-05-11,6,1,0.42,0.4242,0.5,0.2537,7,135
15413,2012-10-09,10,2,0.44,0.4394,0.75,0.2239,33,164
9606,2012-02-10,5,1,0.24,0.2273,0.52,0.2239,0,17
3878,2011-06-15,12,1,0.7,0.6364,0.34,0.2239,33,211
6912,2011-10-20,15,2,0.48,0.4697,0.51,0.4478,22,160
14406,2012-08-28,11,1,0.78,0.7273,0.55,0.2537,47,218
1702,2011-03-16,14,2,0.4,0.4091,0.76,0.2239,33,100
9050,2012-01-18,0,2,0.46,0.4545,0.77,0.3284,3,17
5641,2011-08-28,12,1,0.74,0.6667,0.51,0.3881,88,306
14569,2012-09-04,6,2,0.68,0.6364,0.89,0.1045,7,172
17021,2012-12-17,0,2,0.38,0.3939,0.87,0.0,2,28
12196,2012-05-28,9,1,0.7,0.6515,0.61,0.0,121,263
13356,2012-07-15,17,1,0.8,0.7727,0.59,0.4925,122,436
8077,2011-12-08,5,1,0.22,0.2121,0.64,0.2239,0,12
6885,2011-10-19,12,3,0.52,0.5,0.94,0.3284,13,130
6247,2011-09-22,21,2,0.64,0.5758,0.89,0.0896,27,221
8847,2012-01-09,11,2,0.26,0.2879,0.56,0.0896,6,88
3023,2011-05-10,21,1,0.54,0.5152,0.52,0.0,30,203
8083,2011-12-08,11,1,0.28,0.2727,0.52,0.2537,6,106
3541,2011-06-01,11,2,0.82,0.8029999999999999,0.59,0.2239,26,112
3279,2011-05-21,13,1,0.7,0.6364,0.45,0.0,191,462
13318,2012-07-14,3,2,0.7,0.6515,0.54,0.1045,9,40
16141,2012-11-10,7,1,0.26,0.2727,0.87,0.1045,14,71
16231,2012-11-14,1,1,0.24,0.2121,0.6,0.2985,2,12
7764,2011-11-25,3,1,0.28,0.2879,0.75,0.1045,0,2
11057,2012-04-10,21,1,0.44,0.4394,0.3,0.4478,15,206
1571,2011-03-10,22,2,0.34,0.3333,0.0,0.1343,4,34
10786,2012-03-30,13,3,0.4,0.4091,0.5,0.0,44,242
1543,2011-03-09,16,2,0.34,0.303,0.76,0.3284,10,112
13165,2012-07-07,18,1,0.94,0.8333,0.29,0.0896,83,277
2804,2011-05-01,18,2,0.46,0.4545,0.82,0.0896,33,159
15324,2012-10-05,17,1,0.7,0.6364,0.42,0.1642,158,900
2211,2011-04-07,0,1,0.46,0.4545,0.41,0.2836,5,20
9558,2012-02-08,5,1,0.24,0.2576,0.7,0.0896,0,20
10163,2012-03-04,13,1,0.36,0.3333,0.37,0.3582,108,364
13570,2012-07-24,15,1,0.82,0.7727,0.49,0.2985,73,285
3133,2011-05-15,11,1,0.6,0.5758,0.78,0.2239,120,322
8999,2012-01-15,20,1,0.16,0.1818,0.37,0.1045,10,95
8156,2011-12-11,12,1,0.26,0.303,0.35,0.0,42,288
16575,2012-11-28,9,1,0.28,0.2727,0.52,0.19399999999999998,13,322
16743,2012-12-05,10,2,0.44,0.4394,0.47,0.3582,14,141
17358,2012-12-31,3,1,0.16,0.1818,0.59,0.1045,0,1
5938,2011-09-09,23,1,0.62,0.5455,0.94,0.0896,35,148
4320,2011-07-03,22,2,0.66,0.6061,0.78,0.1045,69,162
9234,2012-01-25,16,1,0.34,0.3333,0.53,0.1642,29,246
11135,2012-04-14,4,1,0.36,0.3636,0.71,0.1045,5,14
2107,2011-04-02,16,1,0.38,0.3939,0.62,0.3284,111,196
5128,2011-08-06,14,1,0.82,0.7727,0.52,0.2537,176,380
14520,2012-09-02,5,1,0.66,0.5909,0.89,0.0,2,12
13993,2012-08-11,6,2,0.62,0.5606,0.88,0.1045,5,23
3973,2011-06-19,11,2,0.72,0.6667,0.58,0.0896,141,377
8161,2011-12-11,17,1,0.28,0.3182,0.3,0.0,13,163
3034,2011-05-11,8,1,0.48,0.4697,0.77,0.2537,21,442
16424,2012-11-22,2,1,0.24,0.2576,0.75,0.0896,3,18
11994,2012-05-19,23,1,0.6,0.6212,0.56,0.1642,71,239
15593,2012-10-16,22,1,0.4,0.4091,0.71,0.0896,18,181
4663,2011-07-18,5,1,0.64,0.5909,0.78,0.1045,2,17
10008,2012-02-27,1,1,0.26,0.2576,0.65,0.2239,0,6
3286,2011-05-21,20,1,0.62,0.6061,0.61,0.0,84,248
12974,2012-06-29,19,1,0.9,0.8788,0.47,0.19399999999999998,60,363
2367,2011-04-13,13,2,0.44,0.4394,0.77,0.19399999999999998,6,61
17034,2012-12-17,13,2,0.4,0.4091,0.87,0.1343,16,210
14245,2012-08-21,18,1,0.72,0.6667,0.54,0.2239,93,625
5736,2011-09-01,11,1,0.72,0.6667,0.51,0.1343,51,192
9186,2012-01-23,16,2,0.24,0.2424,0.93,0.1642,14,122
440,2011-01-20,9,2,0.24,0.2273,0.52,0.2239,3,143
6114,2011-09-17,8,2,0.46,0.4545,0.77,0.2537,27,108
8176,2011-12-12,8,2,0.16,0.1818,0.8,0.1045,7,385
15617,2012-10-17,22,1,0.46,0.4545,0.88,0.2537,17,215
14910,2012-09-18,11,2,0.68,0.6364,0.79,0.6418,36,151
13876,2012-08-06,9,3,0.7,0.6667,0.79,0.1642,28,276
4692,2011-07-19,10,2,0.82,0.7879,0.56,0.1642,29,141
10618,2012-03-23,13,2,0.7,0.6515,0.48,0.0,172,428
832,2011-02-07,3,1,0.2,0.2576,0.86,0.0,0,1
